model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
custom,0.7833714721586575,0.7720920183585818,0.7697639796659405,0.7571221399115139,0.8949110944386214
efficientnet,0.8954996186117468,0.888801707262283,0.8919299201161947,0.8892858211915281,0.9821925291988027
